iteration,rtt_ms,status
1004,0.371,ok
1005,0.490,ok
1006,0.425,ok
1007,0.552,ok
1008,0.409,ok
1009,0.457,ok
1010,0.805,ok
1011,0.717,ok
1012,0.589,ok
1013,1.150,ok
1014,1.065,ok
1015,79.575,ok
1016,0.660,ok
1017,0.514,ok
1018,0.485,ok
1019,0.475,ok
1020,0.428,ok
1021,0.441,ok
1022,0.497,ok
1023,0.489,ok
1024,0.479,ok
1025,0.349,ok
1026,0.355,ok
1027,0.325,ok
1028,0.326,ok
1029,0.301,ok
1030,0.343,ok
1031,0.485,ok
1032,0.437,ok
1033,0.381,ok
1034,0.439,ok
1035,0.466,ok
1036,0.593,ok
1037,0.545,ok
1038,0.565,ok
1039,1.014,ok
1040,0.981,ok
1041,1.132,ok
1042,3.434,ok
1043,0.568,ok
1044,0.485,ok
1045,0.725,ok
1046,0.567,ok
1047,0.621,ok
1048,0.592,ok
1049,0.459,ok
1050,0.434,ok
1051,0.426,ok
1052,0.515,ok
1053,0.467,ok
1054,0.449,ok
1055,0.503,ok
1056,0.486,ok
1057,0.502,ok
1058,0.522,ok
1059,0.496,ok
1060,0.524,ok
1061,1.152,ok
1062,0.693,ok
1063,1.776,ok
1064,1.054,ok
1065,0.846,ok
1066,0.743,ok
1067,0.779,ok
1068,0.916,ok
1069,0.696,ok
1070,0.938,ok
1071,1.043,ok
1072,0.759,ok
1073,0.692,ok
1074,1.201,ok
1075,0.717,ok
1076,0.858,ok
1077,0.773,ok
1078,0.568,ok
1079,0.755,ok
1080,0.858,ok
1081,0.664,ok
1082,0.644,ok
1083,0.613,ok
1084,0.547,ok
1085,0.733,ok
1086,0.724,ok
1087,0.614,ok
1088,0.636,ok
1089,0.688,ok
1090,0.967,ok
1091,0.732,ok
1092,0.891,ok
1093,0.787,ok
1094,0.508,ok
1095,0.574,ok
1096,0.527,ok
1097,0.618,ok
1098,0.636,ok
1099,0.956,ok
1100,0.891,ok
1101,0.859,ok
1102,0.650,ok
1103,1.880,ok
1104,0.730,ok
1105,0.606,ok
1106,1.420,ok
1107,0.666,ok
1108,0.590,ok
1109,0.640,ok
1110,0.596,ok
1111,0.575,ok
1112,0.429,ok
1113,0.465,ok
1114,0.486,ok
1115,0.446,ok
1116,0.421,ok
1117,0.511,ok
1118,0.438,ok
1119,0.583,ok
1120,0.365,ok
1121,0.374,ok
1122,0.490,ok
1123,0.439,ok
1124,0.490,ok
1125,0.397,ok
1126,0.434,ok
1127,0.419,ok
1128,0.340,ok
1129,0.379,ok
1130,0.474,ok
1131,0.385,ok
1132,0.445,ok
1133,0.398,ok
1134,1.031,ok
1135,2.586,ok
1136,0.564,ok
1137,0.578,ok
1138,0.582,ok
1139,1.102,ok
1140,1.036,ok
1141,0.526,ok
1142,0.664,ok
1143,1.629,ok
1144,0.711,ok
1145,0.586,ok
1146,0.513,ok
1147,0.554,ok
1148,0.447,ok
