iteration,rtt_ms,status,proc_ram_mb,proc_vsz_mb,proc_cpu_pct,sys_ram_pct,sys_cpu_pct
196,0.373,ok,14.699,1155.250,0.0,52.3,0.0
197,0.385,ok,14.699,1155.250,0.0,52.3,0.0
198,0.354,ok,14.699,1155.250,0.0,52.3,0.0
199,0.323,ok,14.699,1155.250,0.0,52.3,0.0
200,0.350,ok,14.699,1155.250,0.0,52.3,0.0
201,0.297,ok,14.699,1155.250,0.0,52.3,0.0
202,0.260,ok,14.699,1155.250,0.0,52.3,0.0
203,0.338,ok,14.699,1155.250,0.0,52.3,0.0
204,0.379,ok,14.699,1155.250,0.0,52.3,0.0
205,0.366,ok,14.699,1155.250,0.0,52.3,0.0
206,0.347,ok,14.699,1155.250,0.0,52.3,0.0
207,0.377,ok,14.699,1155.250,0.0,52.3,0.0
208,0.375,ok,14.699,1155.250,0.0,52.3,0.0
209,0.391,ok,14.699,1155.250,0.0,52.3,0.0
210,0.347,ok,14.699,1155.250,0.0,52.3,0.0
211,0.349,ok,14.699,1155.250,0.0,52.3,0.0
212,0.321,ok,14.699,1155.250,0.0,52.3,0.0
213,0.349,ok,14.699,1155.250,0.0,52.3,0.0
214,0.415,ok,14.699,1155.250,0.0,52.3,0.0
215,0.306,ok,14.699,1155.250,0.0,52.3,0.0
216,0.234,ok,14.699,1155.250,0.0,52.3,0.0
217,0.248,ok,14.699,1155.250,0.0,52.3,0.0
218,0.245,ok,14.699,1155.250,0.0,52.3,0.0
219,0.302,ok,14.699,1155.250,0.0,52.3,0.0
220,0.225,ok,14.699,1155.250,0.0,52.3,0.0
221,0.271,ok,14.699,1155.250,0.0,52.3,0.0
222,0.220,ok,14.699,1155.250,0.0,52.3,0.0
223,0.202,ok,14.699,1155.250,0.0,52.3,0.0
224,0.249,ok,14.699,1155.250,0.0,52.3,0.0
225,0.232,ok,14.699,1155.250,0.0,52.3,0.0
226,0.220,ok,14.699,1155.250,0.0,52.3,0.0
227,0.211,ok,14.699,1155.250,0.0,52.3,0.0
228,0.203,ok,14.699,1155.250,0.0,52.3,0.0
229,0.222,ok,14.699,1155.250,0.0,52.3,0.0
230,0.206,ok,14.699,1155.250,0.0,52.3,0.0
231,0.197,ok,14.699,1155.250,0.0,52.3,0.0
232,0.205,ok,14.699,1155.250,0.0,52.3,0.0
